Timestamp,  Uptime, NCPU, CPU_Load, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1543874738, 0, 8, 1.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.8, 16316264, 4063412, 10963808, 5928208, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874739, 1, 8, 0.94, 13.6, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 32.8, 16316264, 4063344, 10965804, 5930188, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874740, 2, 8, 0.94, 12.8, 1.0, 4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 32.8, 16316264, 4062656, 10968032, 5932412, 0.0, 3999740, 0, 3999740, 0, 3, 0, 16, 0, 0
1543874741, 3, 8, 0.94, 6.4, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 32.8, 16316264, 4062904, 10969592, 5933972, 0.0, 3999740, 0, 3999740, 0, 1, 0, 80, 0, 0
1543874742, 4, 8, 0.94, 14.4, 2.0, 0.0, 1.0, 0.0, 2.0, 1.0, 3.0, 4.0, 32.7, 16316264, 4050604, 10981836, 5946216, 0.0, 3999740, 0, 3999740, 0, 1, 0, 4, 0, 16
1543874743, 5, 8, 0.94, 8.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 32.7, 16316264, 4049072, 10983368, 5947748, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
