Timestamp,  Uptime, NCPU, CPU_Load, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1543874276, 0, 8, 2.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 32.4, 16316264, 4011980, 11033372, 6003136, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874277, 1, 8, 2.61, 67.2, 9.0, 8.7, 9.7, 6.0, 8.0, 11.7, 6.1, 8.1, 32.4, 16316264, 4011980, 11033752, 6003520, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874278, 2, 8, 2.61, 68.0, 10.8, 7.1, 7.0, 7.2, 10.0, 6.2, 10.1, 9.2, 32.4, 16316264, 4011528, 11034164, 6003932, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
