Timestamp,  Uptime, NCPU, CPU_Load, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1543874482, 0, 8, 0.94, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.8, 16316264, 3968024, 11124440, 6091964, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874483, 1, 8, 0.94, 16.0, 3.0, 0.0, 5.0, 1.0, 1.0, 2.0, 4.0, 1.0, 31.8, 16316264, 3970208, 11124256, 6091796, 0.0, 3999740, 0, 3999740, 0, 7, 0, 116, 0, 132
1543874484, 2, 8, 0.86, 12.0, 1.0, 1.0, 2.1, 0.0, 1.0, 3.0, 3.0, 1.0, 31.8, 16316264, 3970656, 11126768, 6094308, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874485, 3, 8, 0.86, 12.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.9, 0.0, 31.8, 16316264, 3971056, 11124320, 6091860, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874486, 4, 8, 0.86, 8.8, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.9, 0.0, 31.8, 16316264, 3970100, 11125540, 6093080, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874487, 5, 8, 0.86, 12.0, 2.0, 2.9, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 31.8, 16316264, 3970540, 11124320, 6091860, 0.0, 3999740, 0, 3999740, 0, 3, 0, 36, 0, 40
1543874488, 6, 8, 0.86, 12.8, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 4.0, 31.8, 16316264, 3971448, 11126884, 6094404, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874489, 7, 8, 0.79, 32.8, 3.1, 4.1, 6.1, 3.1, 5.1, 3.1, 7.1, 2.1, 31.8, 16316264, 3971608, 11125872, 6093384, 0.0, 3999740, 0, 3999740, 0, 11, 0, 92, 0, 56
1543874490, 8, 8, 0.79, 48.0, 5.9, 5.9, 1.1, 5.1, 8.2, 6.1, 7.1, 6.1, 31.9, 16316264, 3972384, 11118788, 6086312, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874491, 9, 8, 0.79, 22.4, 3.1, 2.0, 4.9, 2.0, 2.0, 5.9, 2.0, 3.0, 31.8, 16316264, 3972080, 11128356, 6095876, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874492, 10, 8, 0.79, 19.2, 4.0, 2.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 31.8, 16316264, 3972196, 11130248, 6097764, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874493, 11, 8, 0.79, 30.4, 2.0, 2.1, 0.0, 3.0, 4.0, 6.1, 5.1, 4.9, 31.8, 16316264, 3969964, 11132864, 6100380, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874494, 12, 8, 0.73, 50.4, 8.2, 7.8, 4.0, 6.9, 9.0, 3.1, 12.0, 3.1, 31.8, 16316264, 3968512, 11132592, 6100108, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874495, 13, 8, 0.73, 31.2, 5.1, 3.0, 7.9, 3.0, 3.0, 3.0, 4.9, 4.0, 31.8, 16316264, 3968216, 11133476, 6100992, 0.0, 3999740, 0, 3999740, 0, 2, 0, 48, 0, 28
1543874496, 14, 8, 0.73, 19.2, 2.0, 1.0, 2.0, 2.0, 3.0, 2.0, 1.0, 5.0, 31.8, 16316264, 3968628, 11134108, 6101624, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874497, 15, 8, 0.73, 23.2, 3.0, 3.0, 3.1, 2.0, 1.0, 5.0, 3.0, 4.0, 31.8, 16316264, 3968412, 11135512, 6103028, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874498, 16, 8, 0.73, 26.4, 4.0, 5.1, 1.0, 2.0, 3.0, 2.0, 3.0, 4.0, 31.8, 16316264, 3968992, 11135316, 6102832, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874499, 17, 8, 0.83, 23.2, 3.0, 4.0, 3.1, 2.0, 1.0, 3.0, 1.0, 3.0, 31.8, 16316264, 3969120, 11135188, 6102704, 0.0, 3999740, 0, 3999740, 0, 1, 0, 4, 0, 0
1543874500, 18, 8, 0.83, 18.4, 2.0, 4.0, 1.0, 4.9, 2.0, 1.0, 2.0, 2.0, 31.8, 16316264, 3971348, 11133024, 6100540, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874501, 19, 8, 0.83, 31.2, 3.0, 5.0, 7.1, 2.0, 3.0, 3.0, 1.0, 7.9, 31.8, 16316264, 3971424, 11133520, 6101032, 0.0, 3999740, 0, 3999740, 0, 2, 0, 64, 0, 20
1543874502, 20, 8, 0.83, 26.4, 1.0, 2.0, 4.1, 6.0, 4.0, 4.0, 2.0, 3.0, 31.8, 16316264, 3972616, 11132836, 6100352, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
1543874503, 21, 8, 0.83, 19.2, 4.1, 2.0, 2.0, 1.0, 3.0, 3.9, 0.0, 2.0, 31.8, 16316264, 3972432, 11133152, 6100668, 0.0, 3999740, 0, 3999740, 0, 0, 0, 0, 0, 0
